"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 05 07:55:35 GMT 2023","Thu Jan 05 07:55:35 GMT 2023","711","chromium","example.spec.js","","","","has title",""
"passed","Thu Jan 05 07:55:35 GMT 2023","Thu Jan 05 07:55:36 GMT 2023","735","chromium","example.spec.js","","","","get started link",""
